,smiles,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,O[C@H]1[C@@H]2C[P@](=O)(O[C@H]2[C@@H]([C@@H]([C@H]1O)O)O)O,11.23257558578987,-3.818503086419753,11.23257558578987,0.3197685185185186,0.2996436403224311,240.14800000000002,227.04399999999995,240.039889386,88,0,0.3284773411035431,-0.38990998493400586,0.38990998493400586,0.3284773411035431,1.0,1.5333333333333334,2.1333333333333333,2.2700032729747264,281.7138257618324,11.378315177510851,7.670986550251779,8.565413741251694,6.833004438872777,4.558122247534972,6.32087452290887,4.016278776740092,5.8671559819281125,2.97495445949523,4.430883841057183,2.1512977639567987,3.8553951824237744,-0.010000000000000023,2281.969299929901,11.47466814585883,3.494809098003036,1.7408195347765523,85.46489581398555,29.843268343827116,24.41586555099321,0.0,0.0,0.0,7.595762326787885,4.565048284931329,0.0,0.0,0.0,0.0,0.0,5.917906046161393,12.265876415216223,34.40831662875844,7.595762326787885,0.0,0.0,5.917906046161393,30.51983193874151,6.161910027467921,0.0,0.0,0.0,0.0,0.0,0.0,7.595762326787885,62.00126314832472,9.088795446643147,5.917906046161393,0.0,0.0,0.0,0.0,0.0,127.45000000000002,44.03350031169079,29.884569467046628,0.0,6.161910027467921,0.0,0.0,0.0,0.0,0.0,4.5237471617118175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.916695956160241,34.88885959939531,1.0,15,5,7,1,1,2,0,0,0,6,5,8,0,1,1,2,2,-2.3559999999999994,47.08250000000003,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,O=C[C@@H](COP(=O)(O)O)O,9.896805555555556,-4.551658950617284,9.896805555555556,0.12069444444444444,0.35581656845223636,170.05700000000002,163.00099999999998,169.998024574,60,0,0.4691824369623334,-0.383179535779402,0.4691824369623334,0.383179535779402,1.6,2.1,2.4,3.5507487210973183,149.07191849430646,8.198670612749268,4.87540657295722,5.769833763957137,4.454507021897173,2.289306280204797,3.819603023545019,1.489773470479834,2.729126261669145,0.5705540316822779,1.0559745931970603,0.21274588932962207,0.5596702478570276,-0.26,99.59282168544263,9.739999999999998,3.7988938645089942,5.869198966408269,56.67651451723653,19.687887784417477,6.103966387748303,6.286160523129555,0.0,0.0,7.822697123132171,4.5237471617118175,4.565048284931329,0.0,0.0,0.0,0.0,0.0,6.606881964512918,28.776683231060623,14.108857646261725,0.0,0.0,0.0,6.103966387748303,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,7.822697123132171,33.89035947573643,13.883332630714968,0.0,0.0,0.0,0.0,0.0,0.0,104.06000000000002,20.53354547539339,9.35958546900315,0.0,6.286160523129555,0.0,0.0,0.0,0.0,0.0,4.5237471617118175,14.893350600345656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.664212962962964,27.474675925925926,0.6666666666666666,10,3,6,0,0,0,0,0,0,4,3,7,4,0,0,0,0,-1.3445000000000003,30.06689999999999,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CCCCCCCC(=O)O,10.031994126354245,-0.6699088246409672,10.031994126354245,0.33701814058956914,0.5811557038471341,144.214,128.08599999999998,144.115029752,60,0,0.30283955653217365,-0.481230389785217,0.481230389785217,0.30283955653217365,1.2,1.8,2.3,2.838589121813916,89.25838096618138,7.819990956308912,6.598102573083107,6.598102573083107,4.770055610029662,3.9883911147617317,3.9883911147617317,2.557952105596448,2.557952105596448,1.4941955573808654,1.4941955573808654,0.8797791157461863,0.8797791157461863,-0.53,142.19516056908168,9.47,6.588063754427392,7.470000000000003,62.24960168084558,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,32.60702369139466,6.4208216229260096,6.4208216229260096,0.0,9.901064578912528,5.969305287951849,0.0,0.0,0.0,45.448666937246685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,0.0,45.448666937246685,0.0,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,0.0,0.0,6.4208216229260096,12.841643245852019,19.26246486877803,0.0,0.0,6.923737199690624,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.666666666666668,0.875,10,1,2,0,0,0,0,0,0,1,1,2,6,0,0,0,0,2.4314999999999998,41.0118,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
3,N[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3,6.320833333333334,0.3003472222222221,6.320833333333334,0.3003472222222221,0.5620664127719119,151.253,134.11699999999996,151.136099544,62,0,0.016184112016620927,-0.3250304809663282,0.3250304809663282,0.016184112016620927,0.8181818181818182,1.1818181818181819,1.4545454545454546,1.940003547175709,150.02758609770032,7.474691494688164,7.052041763877789,7.052041763877789,5.234894785954589,5.023569920549402,5.023569920549402,5.279927863931453,5.279927863931453,4.085604198162151,4.085604198162151,4.177633568359496,4.177633568359496,-0.04,434.3557873412837,6.473203017832648,1.8200897383602357,0.8682518116739604,68.34612729382405,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.27864787604024,5.538925252383345,0.0,0.0,0.0,0.0,0.0,23.48738561564636,44.0638549899394,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,5.538925252383345,0.0,17.75371813848418,38.524929737556064,0.0,0.0,0.0,0.0,26.02,0.0,0.0,0.0,0.0,5.538925252383345,17.75371813848418,38.524929737556064,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.249999999999996,1.0,11,2,1,4,0,4,0,0,0,1,1,1,0,4,0,4,4,1.9139,45.09040000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CCC(=O)C(=O)Nc1ccc(cc1C)C,11.319977796674227,-0.5375434618291755,11.319977796674227,0.23287926744772025,0.7689217443289819,205.25699999999998,190.13699999999997,205.11027872,80,0,0.2912288716601582,-0.3192144998893674,0.3192144998893674,0.2912288716601582,1.2666666666666666,1.9333333333333333,2.466666666666667,2.812942532351174,396.608634681643,11.422285251880869,9.255654169683153,9.255654169683153,7.04091255785876,4.95694233395627,4.95694233395627,3.54922954400928,3.54922954400928,2.204477564210298,2.204477564210298,1.3064255510285079,1.3064255510285079,-1.6399999999999997,1964.5302167298346,11.434850299401196,4.7318370427328516,2.907605521188402,89.49396218957217,5.316788604006331,0.0,0.0,5.783244946364939,5.907179729351506,0.0,9.589074368143644,0.0,0.0,0.0,24.619922828310838,25.477292959539856,12.10820789760957,0.0,9.589074368143644,17.377810950400008,0.0,0.0,0.0,27.19203322199788,5.316788604006331,29.32600418877882,0.0,0.0,5.316788604006331,5.687386274683562,0.0,0.0,11.690424675716445,9.589074368143644,13.847474399381248,24.471461806010623,18.19910120538483,0.0,0.0,0.0,46.17,11.690424675716445,9.589074368143644,0.0,6.4208216229260096,5.687386274683562,11.126902983393991,0.0,6.923737199690624,32.046575604766076,5.316788604006331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.333333333333336,0.3333333333333333,15,1,3,0,0,0,1,0,1,2,1,3,3,0,0,0,1,2.2210400000000003,59.84370000000003,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,OC1CCCC1,8.729166666666668,0.046296296296295836,8.729166666666668,0.046296296296295836,0.46448993193719695,86.134,76.05399999999999,86.07316494,36,0,0.053984801105416404,-0.3931313823625101,0.3931313823625101,0.053984801105416404,1.1666666666666667,1.6666666666666667,1.8333333333333333,2.184105569636068,37.20310343869659,4.405777393935816,3.8529909894357735,3.8529909894357735,2.893846850117352,2.5746954706748872,2.5746954706748872,1.9382805566410968,1.9382805566410968,1.324695470674887,1.324695470674887,0.9042620223220874,0.9042620223220874,-0.04,33.548875021634686,4.127785234899329,1.6056599286563615,0.716242568370987,37.987422084082766,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,12.841643245852019,0.0,6.103966387748303,5.106527394840706,0.0,0.0,0.0,0.0,31.78725287945234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.210493782589008,0.0,0.0,25.683286491704038,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,6.103966387748303,0.0,12.841643245852019,12.841643245852019,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333333333333334,1.0,6,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0.9213,24.474799999999988,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,OC(=O)c1cccc(c1)N(=O)=O,10.353148148148149,-1.16787037037037,10.353148148148149,0.07944444444444398,0.5311522869582356,167.11999999999995,162.07999999999996,167.02185764,62,0,0.3354372389098325,-0.47763620333687157,0.47763620333687157,0.3354372389098325,1.5,2.1666666666666665,2.6666666666666665,3.121805775248301,304.683190204761,9.137828201504695,5.928573139150009,5.928573139150009,5.6090609052806215,3.0878533174479195,3.0878533174479195,2.1125906975294546,2.1125906975294546,1.3039233705444675,1.3039233705444675,0.7525050229540186,0.7525050229540186,-1.91,472.11168662963706,8.189108027750247,2.99667013888714,1.5708289759166219,67.40507680863314,5.106527394840706,0.0,0.0,0.0,5.687386274683562,5.969305287951849,10.114318268765572,4.794537184071822,0.0,0.0,6.06636706846161,6.06636706846161,12.13273413692322,10.486762540514666,14.824375627730198,11.656691562635412,0.0,0.0,0.0,0.0,0.0,39.94323803430901,0.0,0.0,0.0,5.687386274683562,0.0,0.0,15.999143731610225,0.0,10.114318268765572,10.357988675768818,24.26546827384644,0.0,0.0,0.0,80.44,10.892616336769521,14.908855452837393,0.0,11.250837766380558,0.0,6.06636706846161,18.19910120538483,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,12,1,5,0,0,0,1,0,1,3,1,5,2,0,0,0,1,1.293,40.05570000000001,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CCCC(=O)OCC,10.420833333333334,-0.08796296296296258,10.420833333333334,0.08796296296296258,0.5200986676423002,116.15999999999998,104.06399999999998,116.083729624,48,0,0.30525680561770935,-0.46596933451826794,0.46596933451826794,0.30525680561770935,1.5,2.125,2.5,3.0551722039096187,60.92878689342031,6.405777393935816,5.437816924487368,5.437816924487368,3.808060412490447,2.9646903780250446,2.9646903780250446,1.5550211698203653,1.5550211698203653,0.7594493502441826,0.7594493502441826,0.43728056659547937,0.43728056659547937,-0.53,50.25226450504587,7.470000000000001,4.624559505409582,3.6528153564899446,49.83902892936323,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,6.923737199690624,13.344558822616634,6.4208216229260096,6.606881964512918,9.53140013787187,5.969305287951849,0.0,0.0,0.0,26.689117645233267,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,0.0,26.689117645233267,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,5.969305287951849,13.027703587438928,6.4208216229260096,0.0,0.0,13.847474399381248,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.666666666666664,0.8333333333333334,8,0,2,0,0,0,0,0,0,2,0,2,3,0,0,0,0,1.3496000000000001,31.540999999999983,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CCCCCCCCCCCC,2.279016096988229,1.3708677685950414,2.279016096988229,1.3708677685950414,0.4304643040524984,170.33999999999997,144.13199999999998,170.203450832,74,0,-0.05330597417108836,-0.06538238322279266,0.06538238322279266,0.05330597417108836,0.4166666666666667,0.6666666666666666,0.9166666666666666,2.72724281291869,56.43856189774725,9.071067811865477,9.071067811865477,9.071067811865477,5.914213562373096,5.914213562373094,5.914213562373094,3.828427124746189,3.828427124746189,2.457106781186547,2.457106781186547,1.5606601717798205,1.5606601717798205,0.0,488.92509398668415,12.0,11.0,10.0,78.75361428619225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.05569062864136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.05569062864136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.05569062864136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.20821622926012,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4.9272000000000045,57.51800000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
9,C1CCCO1,4.944444444444445,1.0,4.944444444444445,1.0,0.410937601049349,72.107,64.04299999999999,72.057514876,30,0,0.046638169849841704,-0.3814493819627182,0.3814493819627182,0.046638169849841704,1.0,1.6,1.8,2.083333333333333,15.219280948873621,3.5355339059327378,3.236675415210053,3.236675415210053,2.5,2.0773502691896253,2.0773502691896253,1.319479216882342,1.319479216882342,0.8273502691896256,0.8273502691896256,0.5103103630798287,0.5103103630798287,-0.04,22.886435386960574,3.1616129032258065,1.4103121748178982,0.6183636836628511,31.941791446997026,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,13.213763929025836,0.0,4.736862953800049,0.0,0.0,0.0,0.0,12.841643245852019,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,4.736862953800049,0.0,12.841643245852019,0.0,0.0,0.0,0.0,9.23,0.0,0.0,0.0,0.0,0.0,13.213763929025836,12.841643245852019,0.0,0.0,0.0,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1.0,5,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0.7968,20.052999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,S=c1ccccn1O,8.73175925925926,0.4236111111111114,8.73175925925926,0.4236111111111114,0.4212788259507953,127.16799999999998,122.12799999999999,127.00918478,42,0,0.1418181281054307,-0.42762176703122706,0.42762176703122706,0.1418181281054307,1.5,2.25,2.625,3.34660739086912,229.8703210229147,5.983127663125442,4.112076558222282,4.928573139150009,3.804530452640311,2.174604967323885,2.582853257787748,1.3834452113267754,1.8017216575573465,0.8029817823538806,1.1261234592735536,0.41891464053806204,0.5583401226149192,-0.8300000000000001,72.49526582754562,5.309470013947001,1.961225714690048,0.8692020605459402,51.96807508591767,5.20725302477729,4.640589267438692,0.0,0.0,0.0,0.0,0.0,0.0,4.7304076419062255,0.0,18.284240511508305,12.13273413692322,6.196843571613076,0.0,5.20725302477729,12.217873443046695,0.0,4.7304076419062255,0.0,0.0,0.0,29.036534044436596,0.0,0.0,0.0,0.0,0.0,12.217873443046695,9.937660666683517,0.0,4.640589267438692,0.0,24.395944776997908,0.0,0.0,0.0,25.16,0.0,0.0,0.0,0.0,4.640589267438692,4.7304076419062255,6.196843571613076,18.19910120538483,0.0,12.217873443046695,5.20725302477729,0.0,4.666203703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.4236111111111114,16.243518518518517,0.0,8,1,2,0,0,0,0,1,1,3,1,3,0,0,0,0,1,1.4548899999999996,32.45049999999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,CC(=O)OC(=O)C,9.811111111111112,-0.5624999999999998,9.811111111111112,0.5624999999999998,0.32146962429561426,102.089,96.041,102.031694052,40,0,0.3097681903271179,-0.3935616726354605,0.3935616726354605,0.3097681903271179,1.1428571428571428,1.4285714285714286,1.4285714285714286,3.318019590380522,83.10802962390817,5.8618073195657985,4.224744871391589,4.224744871391589,3.125897657686229,1.8164965809277263,1.8164965809277263,1.0852253202103586,1.0852253202103586,0.2874574785652649,0.2874574785652649,0.20240575138529343,0.20240575138529343,-0.8600000000000001,19.093583929800843,6.14,2.3368296745854065,5.14,41.27066680061378,4.736862953800049,0.0,0.0,0.0,0.0,11.938610575903699,9.589074368143644,0.0,0.0,0.0,0.0,0.0,13.847474399381248,0.0,14.325937321943691,11.938610575903699,0.0,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.938610575903699,14.325937321943691,0.0,13.847474399381248,0.0,0.0,0.0,0.0,43.370000000000005,11.938610575903699,9.589074368143644,0.0,0.0,0.0,0.0,13.847474399381248,0.0,0.0,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.833333333333332,0.5,7,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0.09599999999999997,22.44699999999999,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,O/C=N/c1ccccc1C=O,10.34661186696901,0.4701851851851855,10.34661186696901,0.4701851851851855,0.3950752697536007,149.14899999999997,142.09299999999996,149.047678464,56,0,0.17137910893261177,-0.49860580452876346,0.49860580452876346,0.17137910893261177,1.3636363636363635,2.090909090909091,2.727272727272727,3.1133255511064077,281.17547657141216,8.104448006685086,5.766777096601534,5.766777096601534,5.3805400575618805,3.091732241424257,3.091732241424257,1.921236354009804,1.921236354009804,1.2605419186114333,1.2605419186114333,0.7669565358518468,0.7669565358518468,-1.64,383.49028862083793,7.466837606837607,3.5091767506447122,1.6398783373809944,64.01236568639007,5.106527394840706,0.0,12.686821444251782,0.0,0.0,0.0,4.794537184071822,4.992404732635669,0.0,0.0,12.13273413692322,12.13273413692322,5.563451491696996,5.687386274683562,9.901064578912528,18.374207718935345,0.0,0.0,4.992404732635669,0.0,0.0,29.828919765543436,0.0,0.0,0.0,5.687386274683562,0.0,0.0,17.793348839092488,0.0,0.0,10.357988675768818,29.257873006482107,0.0,0.0,0.0,49.660000000000004,0.0,4.794537184071822,0.0,0.0,23.93765921063234,0.0,0.0,24.26546827384644,0.0,4.992404732635669,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.333333333333332,0.0,11,1,3,0,0,0,1,0,1,2,1,3,2,0,0,0,1,1.7168999999999999,42.61030000000002,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,OC(=O)[C@H](CCOP(=O)(O)O)N,10.080213529856387,-4.5006438964474675,10.080213529856387,0.13844907407407403,0.41300411909155504,199.09900000000002,189.01899999999998,199.02457367,72,0,0.4690766824906334,-0.4800853456552217,0.4800853456552217,0.4690766824906334,1.5833333333333333,2.0833333333333335,2.4166666666666665,3.5761191523996705,199.72476622436798,9.776020881938894,6.082513354143769,6.976940545143685,5.327185821959347,3.011811207638844,4.542107950979065,2.05720641570438,3.296559206893692,1.0055145458315882,1.5244380946814398,0.4220643197657674,0.7653084905402516,-0.46,229.77381799265933,11.54,4.53741546821461,6.263006960022179,68.38134732864584,20.62701807750784,6.041840829147961,0.0,0.0,0.0,13.79200241108402,9.318284345783638,4.565048284931329,0.0,0.0,0.0,6.4208216229260096,0.0,6.606881964512918,28.776683231060627,13.79200241108402,0.0,0.0,5.733667477162185,12.462662452073971,6.606881964512918,0.0,0.0,0.0,5.733667477162185,0.0,0.0,7.822697123132171,33.511378681958384,13.883332630714968,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,130.08,19.833843240231978,9.35958546900315,0.0,13.027703587438928,0.0,0.0,0.0,0.0,0.0,4.5237471617118175,20.62701807750784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.040044879062735,32.265510676492816,0.75,12,5,7,0,0,0,0,0,0,4,4,8,5,0,0,0,0,-1.1023,38.2243,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
